Time (s),Ground Truth (N),Jacobian Estimate (N),In Contact
0.006,0.0,0.0,0
0.06600000000000004,0.0,0.0,0
0.12600000000000008,0.0,0.0,0
0.18600000000000014,0.0,0.0,0
0.2460000000000002,0.0,0.0,0
0.3060000000000002,0.0,0.0,0
0.36600000000000027,0.0,0.0,0
0.4260000000000003,0.0,0.0,0
0.4860000000000004,0.0,0.0,0
0.5460000000000004,0.0,0.0,0
0.6060000000000004,0.0,0.0,0
0.6660000000000005,0.0,0.0,0
0.7260000000000005,0.0,0.0,0
0.7860000000000006,0.0,0.0,0
0.8460000000000006,0.0,0.0,0
0.9060000000000007,0.0,0.0,0
0.9660000000000007,0.0,0.0,0
1.0260000000000007,0.0,0.0,0
1.0860000000000007,0.0,0.0,0
1.1460000000000008,0.0,0.0,0
1.2060000000000008,0.0,0.0,0
1.266000000000001,0.0,0.0,0
1.326000000000001,0.0,0.0,0
1.386000000000001,0.0,0.0,0
1.446000000000001,0.0,0.0,0
1.5060000000000011,0.0,0.0,0
1.5660000000000012,0.0,0.0,0
1.6260000000000012,0.0,0.0,0
1.6860000000000013,0.0,0.0,0
1.7460000000000013,0.0,0.0,0
1.8060000000000014,0.0,0.0,0
1.8660000000000014,0.0,0.0,0
1.9260000000000015,0.0,0.0,0
1.9860000000000015,0.0,0.0,0
2.0459999999999963,0.0,0.0,0
2.1059999999999897,0.0,0.0,0
2.165999999999983,0.0,0.0,0
2.2259999999999764,0.0,0.0,0
2.28599999999997,0.0,0.0,0
2.3459999999999632,0.0,0.0,0
2.4059999999999566,0.0,0.0,0
2.46599999999995,0.0,0.0,0
2.5259999999999434,416.51770902974846,416.51770902974886,1
2.585999999999937,326.47281690777845,326.4728169077784,1
2.64599999999993,327.96344304318046,327.96344304318035,1
2.7059999999999236,324.4872589599648,324.48725895996483,1
2.765999999999917,349.5113519915882,349.5113519915881,1
2.8259999999999104,324.66709054957977,324.66709054957954,1
2.8859999999999038,322.6049965439593,322.60499654395926,1
2.945999999999897,324.22977749071003,324.22977749071015,1
3.0059999999998905,320.12636624085815,320.1263662408582,1
3.065999999999884,321.22949073076575,321.2294907307659,1
3.1259999999998773,317.71049904338577,317.7104990433857,1
3.1859999999998707,318.6783751739762,318.67837517397624,1
3.245999999999864,318.80521363670056,318.8052136367005,1
3.3059999999998575,318.752079554144,318.7520795541438,1
3.365999999999851,334.46491182348484,334.46491182348507,1
3.4259999999998443,328.6490674495929,328.649067449593,1
3.4859999999998377,326.9081649922266,326.9081649922264,1
3.545999999999831,330.0500442461532,330.0500442461533,1
3.6059999999998245,331.2541826417429,331.2541826417429,1
3.665999999999818,364.9623745615994,364.9623745615993,1
3.7259999999998112,329.5216515633536,329.52165156335354,1
3.7859999999998046,357.69152637629753,357.6915263762975,1
3.845999999999798,329.5590537970508,329.5590537970507,1
3.9059999999997914,342.1504405106087,342.1504405106075,1
3.965999999999785,338.24485407647416,338.24485407647444,1
4.025999999999779,344.770005051617,344.7700050516167,1
4.085999999999772,346.1206384008483,346.12063840084835,1
4.145999999999765,349.4430894149811,349.44308941498116,1
4.205999999999759,337.8158917009001,337.8158917008999,1
4.265999999999752,341.2542508343822,341.2542508343813,1
4.325999999999746,345.821316465986,345.8213164659874,1
4.385999999999739,362.99116446165516,362.9911644616551,1
4.445999999999732,355.25351240350454,355.25351240350443,1
4.505999999999726,361.94478208649923,361.9447820864993,1
4.565999999999719,361.6611799589887,361.6611799589886,1
4.625999999999713,351.78811506684946,351.7881150668493,1
4.685999999999706,366.0919164985304,366.09191649853045,1
4.745999999999699,355.6137502557027,355.61375025570254,1
4.805999999999693,349.0323511235851,349.0323511235854,1
4.865999999999686,349.56961829868453,349.5696182986843,1
4.9259999999996795,350.646307242718,350.6463072427184,1
4.985999999999673,348.00090801240503,348.0009080124055,1
5.045999999999666,351.3092895791745,351.3092895791743,1
5.10599999999966,359.34722124556725,359.34722124556737,1
5.165999999999653,362.6605173129055,362.6605173129054,1
5.2259999999996465,375.25400051597325,375.2540005159733,1
5.28599999999964,411.6284440420745,411.6284440420745,1
5.345999999999633,394.9262776974387,394.92627769743905,1
5.405999999999627,401.07220209264176,401.0722020926419,1
5.46599999999962,403.52881861926096,403.5288186192612,1
5.525999999999613,450.5230505805975,450.52305058059756,1
5.585999999999607,431.81905564709075,431.81905564709064,1
5.6459999999996,429.8142158818433,429.8142158818432,1
5.705999999999594,447.04427756740944,447.0442775674096,1
5.765999999999587,454.57073541004814,454.57073541004826,1
5.82599999999958,451.68651439457915,451.68651439457915,1
5.885999999999574,456.89041194762126,456.89041194762143,1
5.945999999999567,386.0123294551617,386.0123294551616,1
6.005999999999561,431.7081462443555,431.7081462443554,1
6.065999999999554,399.0072108933034,399.00721089330324,1
6.125999999999547,421.03471782853745,421.0347178285377,1
6.185999999999541,418.9240346025457,418.924034602546,1
6.245999999999534,413.8465448560275,413.8465448560276,1
6.3059999999995275,422.0529333610911,422.0529333610913,1
6.365999999999521,424.31579678409423,424.31579678409446,1
6.425999999999514,426.83029483930625,426.8302948393067,1
6.485999999999508,430.8467180270335,430.8467180270343,1
6.545999999999501,432.84716834406396,432.8471683440647,1
6.6059999999994945,442.901107515872,442.9011075158718,1
6.665999999999488,441.7887812810933,441.78878128109363,1
6.725999999999481,452.5566044050814,452.5566044050812,1
6.785999999999475,426.5343960918898,426.5343960918896,1
6.845999999999468,157.19841453124621,157.19841453124616,1
6.9059999999994615,369.8142930107406,588.7680052267735,1
6.965999999999455,190.28804040314645,270.57659177506736,1
7.025999999999448,197.1266516468125,284.64218169122427,1
7.085999999999442,198.66598583831927,285.7154434359994,1
7.145999999999435,200.52020487961778,286.04204889335915,1
7.205999999999428,200.11871764676584,288.3689771040845,1
7.265999999999422,215.4530862498035,265.9493635197752,1
7.325999999999415,64.68104253804563,64.68104253804565,1
7.385999999999409,0.0,0.0,0
7.445999999999402,0.0,0.0,0
7.505999999999395,0.0,0.0,0
7.565999999999389,0.0,0.0,0
7.625999999999382,0.0,0.0,0
7.6859999999993756,0.0,0.0,0
7.745999999999369,0.0,0.0,0
7.805999999999362,0.0,0.0,0
7.865999999999356,0.0,0.0,0
7.925999999999349,0.0,0.0,0
7.9859999999993425,0.0,0.0,0
8.045999999999356,0.0,0.0,0
8.105999999999376,0.0,0.0,0
8.165999999999396,0.0,0.0,0
8.225999999999416,0.0,0.0,0
8.285999999999436,0.0,0.0,0
8.345999999999457,0.0,0.0,0
8.405999999999477,0.0,0.0,0
8.465999999999497,0.0,0.0,0
8.525999999999517,0.0,0.0,0
8.585999999999537,0.0,0.0,0
8.645999999999557,0.0,0.0,0
8.705999999999577,0.0,0.0,0
8.765999999999597,0.0,0.0,0
8.825999999999617,0.0,0.0,0
8.885999999999637,0.0,0.0,0
8.945999999999657,0.0,0.0,0
9.005999999999677,0.0,0.0,0
9.065999999999697,112.26807341508596,112.26807341508585,1
9.125999999999717,709.2628834370873,709.2628834370877,1
9.185999999999737,669.4763875722372,669.476387572237,1
9.245999999999757,668.1644125487582,668.1644125487588,1
9.305999999999777,256.41723422067224,256.4172342206721,1
9.365999999999797,112.9233298865563,112.92332988655625,1
9.425999999999817,174.80838804513428,174.80838804513496,1
9.485999999999837,0.0,0.0,0
9.545999999999857,240.50938424410722,266.80734274586047,1
9.605999999999877,164.33134587396492,229.33358350077876,1
9.665999999999897,176.29537463809723,184.7475289584591,1
9.725999999999917,225.21390779276683,182.414190474539,1
9.785999999999937,632.0279697467291,577.4688452583835,1
9.845999999999957,918.4528388367695,522.9269647647993,1
9.965999999999998,825.6621479278953,644.4690201657618,1
10.026000000000018,616.835158943353,660.1027866260837,1
10.086000000000038,447.1203763903577,661.3932844161993,1
10.146000000000058,515.6750810061452,671.3523976137067,1
10.206000000000078,724.9873395028715,667.3361196398668,1
10.266000000000098,900.5781037157315,670.0022373188204,1
10.326000000000118,957.3517000237696,673.4544623996202,1
